algorithm,order,quantity,compare,moves,processing_time
selectionsort,ORDERED,10,45,27,0.0
selectionsort,INVERSE,10,45,27,0.0
selectionsort,ALMOST,10,45,27,0.0
selectionsort,RANDOM,10,45,27,0.0
selectionsort,ORDERED,100,4950,297,0.0
selectionsort,INVERSE,100,4950,297,0.0
selectionsort,ALMOST,100,4950,297,0.0
selectionsort,RANDOM,100,4950,297,0.0
selectionsort,ORDERED,1000,499500,2997,0.140625
selectionsort,INVERSE,1000,499500,2997,0.09375
selectionsort,ALMOST,1000,499500,2997,0.21875
selectionsort,RANDOM,1000,499500,2997,0.15625
selectionsort,RANDOM,10000,49995000,29997,49.109375
selectionsort,ALMOST,10000,49995000,29997,54.296875
selectionsort,INVERSE,10000,49995000,29997,54.828125
selectionsort,ALMOST,100000,4999950000,299997,2562.0
selectionsort,ORDERED,100000,4999950000,299997,2684.8125
selectionsort,INVERSE,100000,4999950000,299997,2785.71875
selectionsort,RANDOM,100000,4999950000,299997,2867.203125
